User-ID,Location,Age
1, usa,
2, usa,18
3, russia,
4, portugal,17
5, united kingdom,
6, usa,61
7, usa,
8, canada,
9, usa,
10, spain,26
11, australia,14
12, usa,
13, spain,26
14, usa,
15, canada,
16, usa,
17, usa,
18, brazil,25
19,,14
20, usa,19
21, spain,46
22, germany,
23, usa,
24, germany,19
25, usa,55
26, usa,
27, usa,32
28, germany,24
29, mexico,19
30, usa,24
31, china,20
32, usa,
33, usa,34
34, united kingdom,
35, usa,17
36, canada,24
37, spain,23
38, italy,34
39, usa,
40, usa,32
41, usa,14
42, usa,17
43, distrito federal,
44, usa,51
45, germany,
46, germany,31
47, italy,21
48, usa,
49, italy,
50, united kingdom,17
51, usa,34
52, germany,
53, usa,
54, usa,44
55, canada,
56, usa,24
57, italy,
58, canada,
59, usa,23
60, italy,
61, usa,30
62, usa,
63, usa,57
64, france,32
65, australia,
66, canada,30
67, usa,43
68, canada,
69, canada,
70, usa,44
71, canada,24
72, united kingdom,34
73, usa,
74, netherlands,30
75, usa,37
76, usa,
77, canada,
78, usa,18
79, canada,20
80, canada,
81, usa,
82, usa,
83, usa,
84, usa,
85, united kingdom,41
86, usa,
87, usa,
88, usa,
89, usa,54
90, usa,42
91,,
93, usa,50
94, iraq,39
95, usa,
96, finland,
97, usa,
98, new zealand,19
99, usa,42
100, spain,44
101, india,26
102, spain,
103, usa,53
104, usa,47
105, united kingdom,36
106, usa,
107, canada,
108, usa,
109, usa,20
110, usa,
111, portugal,25
112, mexico,32
113, usa,
114, usa,57
115, usa,
116, usa,
117, usa,57
118, ghana,28
119, usa,35
120, france,13
121, usa,
122, usa,
123, usa,24
124, usa,58
125, usa,49
126, netherlands,24
127, switzerland,28
128, usa,
129, usa,47
130, italy,
131, usa,
132, usa,38
133, usa,45
134, australia,
135, usa,
136, usa,
137, canada,
138, usa,28
139, usa,35
140, germany,24
141, usa,
142, usa,
143, usa,26
144, usa,62
145, united kingdom,
146, usa,
147, usa,
148, united kingdom,63
149, slovenia,
150, iran,25
151, australia,
152, netherlands,26
153, france,24
154, canada,
155, peru,
156, bosnia and herzegovina,20
157, italy,36
158, germany,38
159, usa,
160, portugal,20
161, portugal,27
162, usa,
163, vietnam,
164, mexico,33
165, usa,62
166, australia,20
167, usa,
168, usa,44
169, usa,
170, usa,
171, brazil,29
172, brazil,66
173, usa,
174, sri lanka,31
175, portugal,
176, united kingdom,34
177, netherlands,46
178, usa,28
179, pakistan,
180, denmark,
181, pakistan,
182, netherlands,36
183, portugal,27
184, usa,
185, usa,17
186, usa,
187, usa,29
188, usa,17
189, belgium,31
190, belgium,33
191, germany,40
192, usa,
193, india,23
194, usa,
195, usa,23
196, malaysia,33
197, canada,
198, germany,21
199, usa,38
200, united kingdom,27
201, u.a.e,
202, canada,28
203, usa,
204, usa,15
205, turkey,23
206, france,60
207, usa,
208, germany,
209, malaysia,21
210, usa,54
211, spain,21
212, philippines,21
213, usa,
214, usa,27
215, canada,20
216, spain,42
217, usa,
218, india,41
219, greece,
220, colombia,0
221, usa,79
222, usa,
223, pakistan,
224, usa,
225, usa,
226, usa,
227, united kingdom,
228, usa,41
229, india,22
230, usa,
231, india,
232, india,16
233, finland,
234, finland,25
235, portugal,22
236, usa,
237, usa,27
238, united kingdom,23
239, usa,
240, australia,20
241, usa,
242, germany,37
243, usa,
244, usa,
245, usa,31
246, norway,16
247, greece,23
248, canada,15
249, netherlands,29
250, usa,25
251, spain,54
252, kuwait,65
253, italy,28
254, usa,24
255, chile,32
256, usa,
257, quit,
258, lj,
259, usa,45
260, usa,51
261, germany,45
262, usa,28
263, usa,
264, taiwan,23
265, china,24
266, canada,
267, usa,29
268, denmark,
269, denmark,
270, germany,
271, pakistan,22
272, usa,20
273, usa,
274, italy,26
275, canada,
276, usa,
277, australia,15
278, usa,21
279, united kingdom,
280, usa,
281, germany,31
282, canada,
283, usa,
284, spain,35
285, united kingdom,
286, usa,17
287, usa,
288, usa,19
289, usa,15
290, usa,
291, usa,
292, usa,22
293, canada,25
294, usa,
295, usa,28
296, spain,21
297, usa,27
298, usa,
299, france,42
300, usa,
301, usa,32
302, usa,53
303, usa,
304, usa,24
305, usa,
306, usa,
307, finland,27
308, españa,53
309, united kingdom,30
310, spain,26
311, netherlands,34
312,,
314, denmark,28
315, sweden,
316, canada,23
317, usa,41
318,,
320, usa,37
321, pakistan,24
322, norway,
323, usa,23
324, philippines,
325, switzerland,
326, usa,
327, usa,
328, usa,33
329, pakistan,21
330, philippines,
331, argentina,60
332, usa,59
333, spain,23
