ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
2253372,A good woman,Lisa Appignanesi,1996,HarperCollins Publishers
2257084,Dolce Vita,Iseult Teran,1999,HarperCollins Publishers
6119875,KING OF THE CASTLE,Holt Victoria,1969,HarperCollins Publishers
6372570,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Marcus Sieff,1988,HarperCollins Publishers
6380921,The Kenneth Williams letters,Kenneth Williams,1995,HarperCollins
6713203,The Demon Bike Rider,Robert Leeson,1986,HarperCollins Publishers
7136013,Illustrated Elements of Homeopathy (Illustrated Elements Of...S.),Llana Dannheisser,1998,Element Books
20093616,The NEW COMICS,Bob Callahan,1991,Scribner Paper Fiction
20298226,Mr. Personality: Profiles and Talk Pieces,Mark Singer,1990,Simon &amp; Schuster
25226207,"Cassell's French Dictionary : French-English, English-French",Denis  Girard,1977,John Wiley &amp; Sons
26885514,A Day at the Fair (Alf),Johnson Hill,1987,Holmes &amp; Meier Publishers
30334365,Understanding Computers: Today and Tomorrow 2002 Edition,Deborah Morley,2001,Course Technology
30494702,The Teaching of Reverence for Life.,"Albert, Schweitzer",1965,"Henry Holt &amp; Company, Inc."
60113146,Castle Malindine,Hilary Ford,1975,Harper &amp; Row
60172479,Staying Together: The Control Theory Guide to a Lasting Marriage,William Glasser,1995,Harpercollins
60182970,Coldheart Canyon: A Hollywood Ghost Story,Clive Barker,2001,HarperCollins Publishers
60183101,"Through a Universe Darkly: A Cosmic Tale of Ancient Ethers, Dark Matter, and the Fate of the Universe",Marcia Bartusiak,1993,HarperCollins Publishers
60188618,Throwing the Elephant: Zen and the Art of Managing Up,Stanley Bing,2002,HarperBusiness
60188626,Daughters of Britannia: The Lives and Times of Diplomatic Wives,Katie Hickman,2001,William Morrow &amp; Company
60201983,Rumpelstiltskin,Jonathan Langley,1992,HarperCollins Publishers
60229357,Harold and the Purple Crayon 50th Anniversary Edition,Crockett Johnson,1955,HarperCollins
60268875,The Stars Will Speak,George Zebrowski,1985,HarperCollins Publishers
60517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
006057559X,Year's Best Sf 9 (Year's Best SF (Science Fiction)),David G. Hartwell,2004,Eos
60589272,Eleven Minutes : A Novel,Paulo Coelho,2004,HarperCollins
60664495,The Words of My Perfect Teacher/Kunzang Lama'i Shelung (Sacred Literature),Patrul Rinpoche,1994,HarperCollins
60723521,"Two Old Women : An Alaska Legend of Betrayal, Courage and Survival",Velma Wallis,2004,Perennial
60805951,The Night of Wenceslas (Perennial Library Mystery Series),Lionel Davidson,1982,HarperCollins Publishers
60924586,"Run With the Hunted : Charles Bukowski Reader, A",Charles J. Bukowski,1994,Perennial
60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
60930683,Shyness : A Bold New Approach,Bernardo J. Carducci Ph.D.,2000,Perennial
60971665,Ideal Bakery,Donald Hall,1988,Harpercollins
60984163,The Late Night Muse: A Novel,Bette Pesetsky,1993,Harpercollins
61006319,Mountain Thunder (Mountain Country),John Legg,1994,Harper Mass Market Paperbacks (Mm)
61008257,Alistair Maclean's Dead Halt : Dead Halt,Alistair MacNeill,1995,HarperTorch
61009814,"Kato Kaelin: The Whole Truth : The Real Story of O.J., Nicole, and Kato",Marc Eliot,1995,Harpercollins
61062820,Dear Sister,John Hall,1995,Harpercollins Juvenile Books
61083755,Danny Boy (Harper Monogram),Leigh Riker,1995,Harper Mass Market Paperbacks
61083860,An Innocent Ruse (Harper Monogram),Mary Morrow,1995,Harper Mass Market Paperbacks (Mm)
61084395,An Unspoken Promise,Georgia Bockoven,1997,Harper Mass Market Paperbacks (Mm)
61090514,The Lies That Bind: A Neil Hamel Mystery,Judith Van Gieson,1994,Harpercollins
62503952,The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,1989,HarperSanFrancisco
62505319,The Woman's Comfort Book : A Self-Nurturing Guide for Restoring Balance in Your Life,Jennifer Louden,1992,HarperSanFrancisco
